ProductID,ProductName,ProductCategory,Weight_KG,RequiredStrength_Level,FragilityLevel,MoistureRequired,OxygenSensitivity,ShippingDistance_KM,ShelfLife_Months,PreferredBiodegradable,PreferredRecyclable,MaxBudgetPerUnit_USD
1,UHT Milk 1L,Milk & Dairy,1.0,6,2,9,7,800,6.0,1,0,0.3
2,Fresh Toned Milk 500ml,Milk & Dairy,0.5,6,2,9,7,200,0.5,1,0,0.18
3,Plain Yogurt Cup 150g,Milk & Dairy,0.15,4,3,8,6,300,1.0,1,0,0.15
4,Flavoured Yogurt Cup 100g,Milk & Dairy,0.1,4,3,8,6,300,1.0,1,0,0.18
5,Greek Yogurt Cup 100g,Milk & Dairy,0.1,4,3,8,6,300,1.5,1,0,0.22
6,Cheddar Cheese Block 200g,Milk & Dairy,0.2,5,3,7,7,1200,6.0,1,1,0.35
7,Cheese Slices 200g,Milk & Dairy,0.2,5,3,7,7,1200,6.0,1,1,0.38
8,Butter Brick 100g,Milk & Dairy,0.1,4,2,8,7,800,6.0,1,1,0.2
9,Ghee Jar 500g,Milk & Dairy,0.5,5,3,7,6,1500,12.0,1,1,0.6
10,Flavoured Milk 200ml,Milk & Dairy,0.2,4,2,8,7,600,3.0,1,0,0.25
11,Whole Wheat Flour 5kg,Grains & Staples,5.0,7,1,3,3,600,12.0,1,1,0.4
12,Refined Wheat Flour 1kg,Grains & Staples,1.0,6,1,3,3,800,12.0,1,1,0.25
13,Basmati Rice 1kg,Grains & Staples,1.0,6,1,2,2,1200,18.0,1,1,0.28
14,Idli Rice 2kg,Grains & Staples,2.0,6,1,2,2,1000,12.0,1,1,0.45
15,Poha 500g,Grains & Staples,0.5,4,1,3,3,700,9.0,1,1,0.2
16,Suji 500g,Grains & Staples,0.5,4,1,3,3,700,9.0,1,1,0.22
17,Quick Oats 1kg,Grains & Staples,1.0,4,1,3,3,900,12.0,1,1,0.35
18,Chana Dal 1kg,Pulses & Lentils,1.0,5,1,3,3,900,12.0,1,1,0.3
19,Toor Dal 1kg,Pulses & Lentils,1.0,5,1,3,3,900,12.0,1,1,0.32
20,Moong Dal 1kg,Pulses & Lentils,1.0,5,1,3,3,900,12.0,1,1,0.34
21,Instant Noodles Pack 70g,Ready-to-Eat,0.07,3,2,5,4,1500,6.0,1,1,0.15
22,Instant Noodles Family Pack 280g,Ready-to-Eat,0.28,4,2,5,4,1500,6.0,1,1,0.4
23,Instant Pasta Cup 80g,Ready-to-Eat,0.08,4,2,5,4,1500,6.0,1,1,0.25
24,Ready-to-Eat Dal Pouch 300g,Ready-to-Eat,0.3,4,2,7,6,1200,6.0,1,1,0.4
25,Ready-to-Eat Rajma Pouch 300g,Ready-to-Eat,0.3,4,2,7,6,1200,6.0,1,1,0.42
26,Microwave Rice Pouch 250g,Ready-to-Eat,0.25,4,2,6,5,1200,6.0,1,1,0.38
27,Breakfast Cereal Box 375g,Bakery & Breakfast,0.38,4,1,3,3,2000,9.0,1,1,0.4
28,Cornflakes 500g,Bakery & Breakfast,0.5,4,1,3,3,2000,9.0,1,1,0.45
29,Granola Clusters 300g,Bakery & Breakfast,0.3,4,1,3,3,2000,9.0,1,1,0.5
30,Multigrain Bread Loaf 400g,Bakery & Breakfast,0.4,4,4,6,6,50,0.25,1,1,0.25
31,White Bread Loaf 400g,Bakery & Breakfast,0.4,4,4,6,6,50,0.2,1,1,0.22
32,Rusk 300g,Bakery & Snacks,0.3,4,2,3,3,600,9.0,1,1,0.28
33,Plain Biscuits 250g,Bakery & Snacks,0.25,3,2,3,3,500,9.0,1,1,0.2
34,Whole Grain Biscuits 200g,Bakery & Snacks,0.2,3,2,3,3,500,9.0,1,1,0.25
35,Chocolate Chip Cookies 200g,Bakery & Snacks,0.2,3,2,4,3,800,9.0,1,1,0.3
36,Masala Potato Chips 100g,Bakery & Snacks,0.1,3,2,4,3,600,6.0,1,1,0.22
37,Namkeen Mixture 200g,Bakery & Snacks,0.2,3,2,4,3,700,9.0,1,1,0.3
38,Popcorn Kernels 500g,Bakery & Snacks,0.5,3,1,3,3,900,12.0,1,1,0.26
39,Ready Popcorn 100g,Bakery & Snacks,0.1,3,2,3,3,900,6.0,1,1,0.28
40,Protein Bar 50g,Bakery & Snacks,0.05,3,2,3,3,2000,9.0,1,1,0.35
41,Dark Chocolate Bar 100g,Confectionery,0.1,3,2,3,4,2500,12.0,1,1,0.4
42,Filled Chocolate Bar 45g,Confectionery,0.05,3,2,3,4,2500,12.0,1,1,0.3
43,Assorted Candies Pouch 250g,Confectionery,0.25,3,2,3,3,1800,12.0,1,1,0.3
44,Lollipops Pouch 200g,Confectionery,0.2,3,2,3,3,1800,12.0,1,1,0.28
45,Roasted Peanuts 200g,Snacks & Nuts,0.2,4,1,3,4,1200,9.0,1,1,0.25
46,Masala Cashews 200g,Snacks & Nuts,0.2,4,2,3,4,1500,9.0,1,1,0.6
47,Mixed Dry Fruits 250g,Snacks & Nuts,0.25,4,2,3,4,2000,12.0,1,1,0.6
48,Trail Mix 250g,Snacks & Nuts,0.25,4,2,3,4,2000,12.0,1,1,0.55
49,Filtered Groundnut Oil 1L,Oils & Fats,0.9,5,2,6,6,1500,12.0,1,1,0.45
50,Sunflower Oil 1L,Oils & Fats,0.9,5,2,6,6,1500,12.0,1,1,0.42
51,Rice Bran Oil 1L,Oils & Fats,0.9,5,2,6,6,1500,12.0,1,1,0.48
52,Olive Oil 500ml,Oils & Fats,0.45,5,2,6,6,2500,12.0,1,1,0.8
53,Tomato Ketchup 500g,Condiments & Sauces,0.5,4,2,5,6,1200,12.0,1,1,0.4
54,Hot & Sweet Chili Sauce 250g,Condiments & Sauces,0.25,4,2,5,6,1200,12.0,1,1,0.3
55,Mango Pickle Jar 500g,Condiments & Sauces,0.5,5,3,4,6,800,12.0,1,1,0.35
56,Green Chili Pickle Jar 300g,Condiments & Sauces,0.3,5,3,4,6,800,12.0,1,1,0.32
57,Plain Salt 1kg,Staples & Seasoning,1.0,4,1,2,2,800,24.0,1,1,0.18
58,Iodized Salt 1kg,Staples & Seasoning,1.0,4,1,2,2,800,24.0,1,1,0.2
59,Refined Sugar 1kg,Staples & Seasoning,1.0,4,1,2,2,900,24.0,1,1,0.25
60,Brown Sugar 1kg,Staples & Seasoning,1.0,4,1,2,2,900,18.0,1,1,0.32
61,Orange Juice 1L,Beverages,1.0,5,3,8,7,1500,6.0,1,1,0.5
62,Apple Juice 1L,Beverages,1.0,5,3,8,7,1500,6.0,1,1,0.5
63,Mixed Fruit Juice 1L,Beverages,1.0,5,3,8,7,1500,6.0,1,1,0.55
64,Tetra-pack Mango Drink 200ml,Beverages,0.2,4,3,8,7,1500,6.0,1,1,0.25
65,Sparkling Water 500ml,Beverages,0.5,4,3,4,4,2000,6.0,1,1,0.3
66,Energy Drink Can 250ml,Beverages,0.25,4,3,4,4,2000,6.0,1,1,0.55
67,Ready-to-Drink Coffee 250ml,Beverages,0.25,4,3,4,4,2000,6.0,1,1,0.4
68,Green Tea Bags 50ct,Beverages,0.1,2,1,1,1,2500,18.0,1,1,0.25
69,Instant Coffee 100g,Beverages,0.1,3,1,2,3,2500,18.0,1,1,0.35
70,Chocolate Drink Powder 500g,Beverages,0.5,3,1,2,3,2500,18.0,1,1,0.6
71,Frozen Green Peas 500g,Frozen Food,0.5,4,3,8,6,1000,9.0,1,1,0.4
72,Frozen Mixed Vegetables 500g,Frozen Food,0.5,4,3,8,6,1000,9.0,1,1,0.4
73,Frozen French Fries 1kg,Frozen Food,1.0,5,3,8,6,1000,9.0,1,1,0.55
74,Frozen Samosas 500g,Frozen Food,0.5,5,3,8,6,1000,6.0,1,1,0.6
75,Ice Cream Tub 500ml,Frozen Food,0.45,4,3,8,7,800,6.0,1,1,0.7
76,Ice Cream Sticks Multipack,Frozen Food,0.4,4,3,8,7,800,6.0,1,1,0.72
77,Paneer Cubes 200g,Chilled & Fresh,0.2,4,3,8,7,500,1.0,1,1,0.35
78,Fresh Curd 500g,Chilled & Fresh,0.5,4,3,8,7,300,0.5,1,1,0.3
79,Fresh Spinach Bunch 250g,Fresh Produce,0.25,3,4,8,8,50,0.25,1,0,0.15
80,Fresh Tomatoes 1kg,Fresh Produce,1.0,4,4,8,8,50,0.25,1,0,0.2
81,Fresh Onions 1kg,Fresh Produce,1.0,4,3,6,6,200,1.0,1,0,0.18
82,Fresh Potatoes 1kg,Fresh Produce,1.0,4,3,6,6,200,2.0,1,0,0.18
83,Fresh Apples 1kg,Fresh Produce,1.0,4,3,6,6,200,1.0,1,0,0.35
84,Fresh Bananas 1kg,Fresh Produce,1.0,3,3,6,6,200,0.5,1,0,0.25
85,Fresh Grapes 500g,Fresh Produce,0.5,3,4,8,8,300,0.5,1,0,0.3
86,Packaged Salad Mix 250g,Fresh Produce,0.25,3,4,8,8,300,0.5,1,1,0.4
87,Ready Idli Batter 1kg,Chilled & Fresh,1.0,4,3,8,7,300,0.5,1,1,0.45
88,Ready Dosa Batter 1kg,Chilled & Fresh,1.0,4,3,8,7,300,0.5,1,1,0.45
89,Packaged Rasgulla Tin 1kg,Sweets & Desserts,1.0,4,3,6,6,800,12.0,1,1,0.6
90,Packaged Gulab Jamun Tin 1kg,Sweets & Desserts,1.0,4,3,6,6,800,12.0,1,1,0.6
91,Soan Papdi Box 500g,Sweets & Desserts,0.5,4,2,3,3,800,9.0,1,1,0.45
92,Mysore Pak Box 400g,Sweets & Desserts,0.4,4,2,3,3,800,9.0,1,1,0.48
93,Protein Cookie 60g,Health & Wellness,0.06,3,2,3,3,1800,9.0,1,1,0.5
94,High Fiber Biscuit 200g,Health & Wellness,0.2,3,2,3,3,1800,9.0,1,1,0.45
95,Multigrain Snack Mix 150g,Health & Wellness,0.15,3,2,3,3,1800,6.0,1,1,0.42
96,Low Sugar Muesli 400g,Health & Wellness,0.4,4,1,3,3,1800,9.0,1,1,0.55
97,Soya Chunks 200g,Health & Wellness,0.2,4,1,3,3,1200,18.0,1,1,0.35
98,Almond Milk 1L,Health & Wellness,1.0,5,3,8,7,1500,6.0,1,1,0.7
99,Oat Milk 1L,Health & Wellness,1.0,5,3,8,7,1500,6.0,1,1,0.7
100,Coconut Water 300ml,Health & Wellness,0.3,4,3,6,6,1500,3.0,1,1,0.5
101,Almond Milk 1L,Health & Wellness,1.0,5,3,8,7,1500,6.0,1,1,0.65
102,Oat Milk 500ml,Health & Wellness,0.5,5,3,8,7,1200,6.0,1,1,0.35
103,Soy Milk 1L,Health & Wellness,1.0,5,3,8,7,1300,6.0,1,1,0.55
104,Coconut Milk 400ml,Health & Wellness,0.4,5,2,7,6,1400,9.0,1,1,0.45
105,Rice Milk 1L,Health & Wellness,1.0,5,3,7,6,1500,6.0,1,1,0.6
106,Quinoa 500g,Grains & Staples,0.5,5,1,2,2,900,18.0,1,1,0.4
107,Brown Rice 1kg,Grains & Staples,1.0,6,1,2,2,1100,18.0,1,1,0.35
108,Millets 1kg,Grains & Staples,1.0,6,1,3,3,800,15.0,1,1,0.3
109,Barley 500g,Grains & Staples,0.5,5,1,3,3,1000,12.0,1,1,0.28
110,Sorghum Flour 1kg,Grains & Staples,1.0,6,1,3,3,700,12.0,1,1,0.25
111,Moong Dal Sprouts 200g,Pulses & Lentils,0.2,4,3,9,8,300,0.5,1,0,0.25
112,Chickpea Flour 500g,Pulses & Lentils,0.5,4,1,3,3,800,12.0,1,1,0.22
113,Black Gram Dal 1kg,Pulses & Lentils,1.0,5,1,3,3,900,12.0,1,1,0.35
114,Urad Dal 500g,Pulses & Lentils,0.5,5,1,3,3,850,12.0,1,1,0.3
115,Red Lentils 1kg,Pulses & Lentils,1.0,5,1,3,3,950,12.0,1,1,0.32
116,Makhana 100g,Snacks & Nuts,0.1,3,2,4,4,1200,9.0,1,1,0.45
117,Roasted Chana 200g,Snacks & Nuts,0.2,4,1,3,3,1000,12.0,1,1,0.25
118,Almonds 200g,Snacks & Nuts,0.2,4,2,2,3,2000,18.0,1,1,0.7
119,Walnuts 200g,Snacks & Nuts,0.2,4,2,2,3,2200,18.0,1,1,0.85
120,Raisins 500g,Snacks & Nuts,0.5,4,2,4,4,1800,24.0,1,1,0.4
121,Dates 500g,Snacks & Nuts,0.5,4,2,4,4,1600,24.0,1,1,0.45
122,Dried Apricots 200g,Snacks & Nuts,0.2,4,2,4,4,1900,18.0,1,1,0.6
123,Pistachios 100g,Snacks & Nuts,0.1,4,2,2,3,2300,18.0,1,1,0.9
124,Cashew Butter 300g,Oils & Fats,0.3,5,2,5,5,1400,12.0,1,1,0.65
125,Peanut Butter 500g,Oils & Fats,0.5,5,2,5,5,1200,12.0,1,1,0.4
126,Almond Butter 250g,Oils & Fats,0.25,5,2,5,5,1500,12.0,1,1,0.7
127,Mustard Oil 1L,Oils & Fats,0.9,5,2,6,6,1300,18.0,1,1,0.38
128,Sesame Oil 500ml,Oils & Fats,0.45,5,2,6,6,1400,18.0,1,1,0.5
129,Coconut Oil 1L,Oils & Fats,0.9,5,2,6,6,1500,24.0,1,1,0.55
130,Ghee 1kg,Milk & Dairy,0.9,6,2,7,6,1200,18.0,1,1,0.8
131,Milk Powder 500g,Milk & Dairy,0.5,5,1,3,3,1800,24.0,1,1,0.45
132,Condensed Milk 400g,Milk & Dairy,0.4,5,2,7,6,1000,18.0,1,1,0.35
133,Paneer 500g,Chilled & Fresh,0.5,5,3,9,8,400,0.75,1,1,0.6
134,Mozzarella Cheese 200g,Milk & Dairy,0.2,5,3,7,7,1100,6.0,1,1,0.5
135,Cream Cheese 200g,Milk & Dairy,0.2,4,3,8,7,900,6.0,1,1,0.45
136,Sour Cream 200g,Milk & Dairy,0.2,4,3,8,7,700,1.0,1,1,0.4
137,Lassi 500ml,Beverages,0.5,5,3,8,7,500,0.5,1,1,0.25
138,Buttermilk 1L,Beverages,1.0,5,3,8,7,400,0.5,1,1,0.2
139,Lemonade 1L,Beverages,1.0,5,3,7,6,1200,1.0,1,1,0.3
140,Iced Tea 500ml,Beverages,0.5,4,3,4,4,1500,3.0,1,1,0.35
141,Dark Chocolate 70% 100g,Confectionery,0.1,3,2,3,4,2000,12.0,1,1,0.45
142,Milk Chocolate 100g,Confectionery,0.1,3,2,3,4,1800,12.0,1,1,0.35
143,White Chocolate 100g,Confectionery,0.1,3,2,3,4,1900,12.0,1,1,0.4
144,Chocolate Truffles 150g,Confectionery,0.15,3,3,4,4,1600,6.0,1,1,0.6
145,Caramel Toffees 200g,Confectionery,0.2,3,2,3,3,1700,12.0,1,1,0.3
146,Jam 500g,Condiments & Sauces,0.5,4,3,6,5,900,18.0,1,1,0.35
147,Peanut Chutney 300g,Condiments & Sauces,0.3,4,2,6,5,700,9.0,1,1,0.28
148,Coconut Chutney 250g,Condiments & Sauces,0.25,4,2,7,6,600,6.0,1,1,0.25
149,Mayonnaise 250g,Condiments & Sauces,0.25,4,2,6,6,1100,6.0,1,1,0.4
150,Soy Sauce 500ml,Condiments & Sauces,0.5,4,2,5,5,2000,24.0,1,1,0.3
151,Tamarind Paste 500g,Condiments & Sauces,0.5,5,2,5,5,800,18.0,1,1,0.25
152,Vinegar 1L,Condiments & Sauces,1.0,5,2,4,4,1500,24.0,1,1,0.22
153,Baking Powder 100g,Staples & Seasoning,0.1,3,1,2,2,1200,24.0,1,1,0.15
154,Baking Soda 500g,Staples & Seasoning,0.5,4,1,2,2,1100,36.0,1,1,0.12
155,Yeast 50g,Staples & Seasoning,0.05,3,1,3,3,1300,24.0,1,1,0.2
156,Spice Mix Garam Masala 100g,Staples & Seasoning,0.1,3,1,2,2,900,24.0,1,1,0.25
157,Turmeric Powder 100g,Staples & Seasoning,0.1,3,1,2,2,800,36.0,1,1,0.15
158,Red Chili Powder 100g,Staples & Seasoning,0.1,3,1,2,2,850,24.0,1,1,0.18
159,Coriander Powder 200g,Staples & Seasoning,0.2,3,1,2,2,900,24.0,1,1,0.2
160,Cumin Powder 100g,Staples & Seasoning,0.1,3,1,2,2,950,24.0,1,1,0.22
161,Ginger Powder 100g,Staples & Seasoning,0.1,3,1,2,2,1000,24.0,1,1,0.25
162,Fennel Seeds 100g,Staples & Seasoning,0.1,3,1,2,2,1100,36.0,1,1,0.2
163,Basil Pesto 190g,Condiments & Sauces,0.19,4,2,6,6,1200,6.0,1,1,0.45
164,Barbecue Sauce 300g,Condiments & Sauces,0.3,4,2,5,5,1300,9.0,1,1,0.35
165,Salsa 400g,Condiments & Sauces,0.4,4,3,7,6,1100,1.0,1,1,0.3
166,Honey 500g,Staples & Seasoning,0.5,4,2,5,5,1400,24.0,1,1,0.5
167,Jaggery 1kg,Staples & Seasoning,1.0,5,2,4,4,700,18.0,1,1,0.25
168,Molasses 500g,Staples & Seasoning,0.5,4,2,5,5,1200,18.0,1,1,0.3
169,Dark Rum Mini 50ml,Beverages,0.05,3,4,3,3,2500,36.0,1,1,0.25
170,Red Wine 750ml,Beverages,0.75,6,5,4,4,3000,24.0,1,1,2.5
171,Beer Can 330ml,Beverages,0.33,4,4,4,4,1800,1.0,1,1,0.8
172,Ginger Ale 300ml,Beverages,0.3,4,3,4,4,2000,6.0,1,1,0.35
173,Tomato Puree 500g,Condiments & Sauces,0.5,4,3,7,6,800,12.0,1,1,0.25
174,Pasta Sauce 400g,Condiments & Sauces,0.4,4,2,6,6,1100,9.0,1,1,0.35
175,Canned Tuna 180g,Ready-to-Eat,0.18,4,3,6,6,1500,18.0,1,1,0.6
176,Canned Sardines 125g,Ready-to-Eat,0.125,4,3,6,6,1600,24.0,1,1,0.45
177,Baked Beans 400g,Ready-to-Eat,0.4,4,2,7,6,1200,18.0,1,1,0.3
178,Corn Kernels 300g,Ready-to-Eat,0.3,4,2,7,6,1100,18.0,1,1,0.25
179,Mushrooms Canned 400g,Ready-to-Eat,0.4,4,3,8,7,1000,12.0,1,1,0.35
180,Pineapple Chunks 400g,Ready-to-Eat,0.4,4,3,8,7,1300,18.0,1,1,0.4
181,Quark Cheese 200g,Milk & Dairy,0.2,4,3,8,7,600,2.0,1,1,0.4
182,Ricotta 250g,Milk & Dairy,0.25,4,3,8,7,700,1.5,1,1,0.45
183,Mascarpone 250g,Milk & Dairy,0.25,4,3,8,7,900,6.0,1,1,0.6
184,Blue Cheese 150g,Milk & Dairy,0.15,5,3,7,7,1200,3.0,1,1,0.55
185,Feta Cheese 200g,Milk & Dairy,0.2,5,3,7,7,1100,3.0,1,1,0.5
186,Parmesan Grated 100g,Milk & Dairy,0.1,4,2,5,5,1500,18.0,1,1,0.45
187,Gouda Cheese 200g,Milk & Dairy,0.2,5,3,7,7,1300,6.0,1,1,0.5
188,Brie Cheese 125g,Milk & Dairy,0.125,4,3,7,7,1400,1.0,1,1,0.6
189,Camembert 250g,Milk & Dairy,0.25,4,3,7,7,1500,1.0,1,1,0.65
190,Goat Cheese 100g,Milk & Dairy,0.1,4,3,8,7,800,1.0,1,1,0.55
191,Frozen Berries 500g,Frozen Food,0.5,4,3,8,7,1200,12.0,1,1,0.6
192,Frozen Mango 400g,Frozen Food,0.4,4,3,8,7,1300,12.0,1,1,0.55
193,Frozen Shrimp 500g,Frozen Food,0.5,5,3,8,7,2000,9.0,1,1,1.2
194,Frozen Chicken Breast 1kg,Frozen Food,1.0,7,2,6,6,1500,6.0,1,1,1.5
195,Frozen Pizza 300g,Frozen Food,0.3,4,4,6,6,1000,6.0,1,1,0.8
196,Frozen Paratha 5pcs,Frozen Food,0.4,4,3,7,6,800,6.0,1,1,0.45
197,Frozen Momos 12pcs,Frozen Food,0.3,4,3,8,7,700,3.0,1,1,0.5
198,Ice Cream Cone Pack,Frozen Food,0.25,3,4,8,7,900,6.0,1,1,0.65
199,Frozen Yogurt 500g,Frozen Food,0.5,4,3,8,7,800,3.0,1,1,0.55
200,Fresh Mushrooms 250g,Fresh Produce,0.25,3,4,9,9,100,0.25,1,0,0.3
201,Canned Green Peas 400g,Frozen Food,0.4,5,3,8,7,1000,12.0,1,1,0.4
202,Frozen Mixed Vegetables 500g,Frozen Food,0.5,5,3,8,7,1100,12.0,1,1,0.45
203,Frozen French Fries 1kg,Frozen Food,1.0,6,3,7,6,900,12.0,1,1,0.55
204,Frozen Spinach 400g,Frozen Food,0.4,5,3,8,7,1100,12.0,1,1,0.5
205,Frozen Broccoli 500g,Frozen Food,0.5,5,3,8,7,1200,12.0,1,1,0.55
206,Frozen Berry Mix 300g,Frozen Food,0.3,4,3,8,7,1300,12.0,1,1,0.6
